,nom,x,y
0,Ain,5.348301380780345,46.10033921042736
1,Aisne,3.559607085475285,49.561295041749766
2,Allier,3.1877624644889924,46.39342376552251
3,Alpes-de-Haute-Provence,6.2450828714728175,44.1063133403771
4,Hautes-Alpes,6.26455869410706,44.663679295420565
5,Alpes-Maritimes,7.116668529683799,43.93895997618185
6,Ardèche,4.4261140562736525,44.75326629328001
7,Ardennes,4.64019702311536,49.61638992328017
8,Ariège,1.503600788472962,42.921251461838985
9,Aube,4.160936882619775,48.30454403149784
10,Aude,2.412201348172259,43.10354936826922
11,Aveyron,2.6777877663574783,44.281266824250835
12,Bouches-du-Rhône,5.0848894460677965,43.54523249609228
13,Calvados,-0.3607670877183578,49.10005340807787
14,Cantal,2.6687789849783834,45.05176663103036
15,Charente,0.20236617493077275,45.71869910177191
16,Charente-Maritime,-0.6762452808595089,45.78064619661461
17,Cher,2.4922714967831974,47.06566280648547
18,Corrèze,1.8773993701294982,45.35773131479268
19,Côte-d'Or,4.771212209893976,47.425482945595085
20,Côtes-d'Armor,-2.865489111729644,48.440506056060244
21,Creuse,2.0179775228083963,46.090301889640855
22,Dordogne,0.7412153893249444,45.1049573445256
23,Doubs,6.362806454949332,47.16555401845241
24,Drôme,5.167064965566965,44.68521721447172
25,Eure,0.9964339342374012,49.11432420450213
26,Eure-et-Loir,1.3697713030271352,48.388261267978905
27,Finistère,-4.060307735910041,48.26094287772043
28,Corse-du-Sud,8.989278224951022,41.86358634515414
29,Haute-Corse,9.206882405753671,42.394581284329675
30,Gard,4.180296557875161,43.99357156414038
31,Haute-Garonne,1.1732952559705718,43.35887376873256
32,Gers,0.4529307715606638,43.69267883379781
33,Gironde,-0.5751166345344714,44.824696434027
34,Hérault,3.3680948538769226,43.579246037333455
35,Ille-et-Vilaine,-1.6373711334271657,48.1549797596142
36,Indre,1.5766498171886318,46.77816237026599
37,Indre-et-Loire,0.6909899209855274,47.25826380987239
38,Isère,5.574934131430133,45.26381925427885
39,Jura,5.697559532896719,46.729781857279775
40,Landes,-0.7836806238386119,43.96580052901434
41,Loir-et-Cher,1.4289161038584584,47.616948231557124
42,Loire,4.165289916775771,45.72762637234974
43,Haute-Loire,3.8063983223622873,45.12770048629657
44,Loire-Atlantique,-1.6788634049150724,47.362737616925294
45,Loiret,2.3442538246312963,47.912531877081285
46,Lot,1.6053337627830755,44.62487464782095
47,Lot-et-Garonne,0.4606313183501133,44.36738600000181
48,Lozère,3.499083370053427,44.517231996320504
49,Maine-et-Loire,-0.5590059524807585,47.39054771986187
50,Manche,-1.3294359328255774,49.08140184314881
51,Marne,4.239182491779717,48.94959779489122
52,Haute-Marne,5.225384381881191,48.10994717576944
53,Mayenne,-0.6567226960768359,48.14727655262512
54,Meurthe-et-Moselle,6.162211798862293,48.7880783249274
55,Meuse,5.3812596955703444,48.99162113829417
56,Morbihan,-2.8111531842178685,47.84746506642807
57,Moselle,6.6602856952362375,49.03762396626859
58,Nièvre,3.504336826074459,47.115562940336794
59,Nord,3.2156908080348887,50.447580294302185
60,Oise,2.4257426690912878,49.41014763008338
61,Orne,0.12750035475091778,48.62295281388256
62,Pas-de-Calais,2.2854811470187717,50.49427195415472
63,Puy-de-Dôme,3.1404207662325043,45.72596088919613
64,Pyrénées-Atlantiques,-0.7621431762801052,43.25620586134095
65,Hautes-Pyrénées,0.1637990940525083,43.053760524449785
66,Pyrénées-Orientales,2.5211763417013837,42.60015642083168
67,Bas-Rhin,7.552207561200868,48.67140330187118
68,Haut-Rhin,7.273441680643591,47.85926175183502
69,Rhône,4.6411094896456895,45.87129389873653
70,Haute-Saône,6.087434969373021,47.64142096009607
71,Saône-et-Loire,4.543208852801591,46.644806337087154
72,Sarthe,0.2231130081790476,47.994857170677726
73,Savoie,6.4428705617524615,45.47787994691807
74,Haute-Savoie,6.4279957045281835,46.03503110786278
75,Paris,2.343894609675657,48.85632177351553
76,Seine-Maritime,1.027238420207603,49.65529876982817
77,Seine-et-Marne,2.9339806418574397,48.62748302302933
78,Yvelines,1.8416344335671757,48.815414331503554
79,Deux-Sèvres,-0.3180876988965846,46.55704886626993
80,Somme,2.2760516496765177,49.95824482884582
81,Tarn,2.1656140543782265,43.78559108021644
82,Tarn-et-Garonne,1.2810566610142482,44.085988219537285
83,Var,6.244528732521121,43.44262353783708
84,Vaucluse,5.177618567729382,44.00651570167956
85,Vendée,-1.2979019315871763,46.675052189261166
86,Vienne,0.45900311021569423,46.56494342163648
87,Haute-Vienne,1.23394303575761,45.892549618986195
88,Vosges,6.3807769383801265,48.19611720188157
89,Yonne,3.5631359187560028,47.840093119668914
90,Territoire de Belfort,6.9272190883605935,47.63206681460961
91,Essonne,2.2427504955451396,48.521969819847655
92,Hauts-de-Seine,2.245533354893397,48.848208410061204
93,Seine-Saint-Denis,2.4779200107683166,48.91750115088459
94,Val-de-Marne,2.4683267069717543,48.77699435311498
95,Val-d'Oise,2.1306821420569007,49.08286794195988
